ID,Brand,Model,Color,Nib Size,Ink Color,Purchase Date,Price,Notes
1,Flair,EVOKE,black,,blue,2022-07-01,125.0,Metal Ball Pen
2,pierre cardin,ROLL-ON Gold,black,,blue,2023-12-01,60.0,Liquid Roller Pen
3,SPARTAN,Soft Touch,blue,,blue,2021-09-01,90.0,Mobile and Tablet Multifunction ; Ball Pen
4,UNOMAX,Roll Gold,black,,blue,2021-07-01,40.0,Retractable Gel Pen
5,UNOMAX,CELEBRA,black,,blue,2022-07-01,149.0,
6,KGP Brandstore,Roller Pen Metal-I,black cap ; silver body,,blue,2023-01-01,100.0,Rough date and price ; CATEGORY: Roller
7,Boat,Trim,grey,,blue,2020-01-01,10.0,"""Inside packet of Flair Evoke"" ; Ball Pen "
8,Elkos,Signy,skin,,blue,2020-01-01,10.0,"""Inside packet of Flair Evoke"" ; Ball Pen "
9,YIREN,EF,golden,,blue,2020-01-01,10.0,"""Inside packet of Flair Evoke"" ; Fountain Pen ; Japanese / Korean rough price"
10,cello,Axis,Red,,blue,2019-05-01,90.0,Metallic Ball Pen
11,Flair,Kiemaya,Silver,,blue,2019-03-01,50.0,Designer Metal Ball Pen
12,Rorito,MAXTRON GOLD,black,,blue,2019-02-01,99.0,greetz gel pen
13,apsara,METALLO STAR,silver,,blue,2019-11-01,60.0,Classic Metal Ball Pen
14,PARKER,GALAXY STANDARD,blue-silver,,blue,2019-05-01,330.0,Ball Pen with gold plated clip
15,Flair,INKY PLANETS,black,,blue,2018-10-01,55.0,Liquid Ink Fountain Pen ; 2 cartridges free
16,Reynolds,TRIMAX GOLD,black,,blue,2018-11-01,90.0,Gel 
17,LINC,uni-ball 215,silver-black,,black,2019-10-01,50.0,Roller Pen
18,Reynolds,V-MAX,transparent,,blue,2011-06-01,20.0,Gel waterproof ink
19,pentonic,V-RT,black,0.7,red,2019-11-01,20.0,
20,classmate,Da Vinci II MECHANICAL PENCIL,blue,0.5,pencil,2018-11-01,15.0,1 Mechanical Pencil with 3 leads ; 10 leads- box free
21,Camlin,PEN PENCIL,pink,2.0,pencil,2019-11-01,25.0,Mechanical Pencil
22,Flair,Desire STEEL,silver,,blue,2016-07-01,35.0,Retractable Metal Ball Pen
23,Flair,Elegance,maroon,,blue,2018-08-01,80.0,Metal Blue Pen
24,cello,Butterflow Elegance,gold,,blue,2019-10-01,50.0,Retractable Ball Pen
25,PARKER,ARBUDA ENTERPRISES,silver,,blue,2019-12-01,100.0,rough price ; Retractable Pen
26,LINC,MEETING G1,black,,blue,2019-02-01,30.0,Ball Pen
27,LEA,Retractable Pen Metal-I,black,,blue,2000-01-01,50.0,Rough date ; Rough Price
28,PARKER,VECTOR STANDARD,blue,,blue,2019-10-01,300.0,Roller Ball Pen
29,Rorito,Gratz,aqua-marine,,blue,2016-10-01,99.0,gifts pen set: 1 Roller Pen ; 1 Ball Pen
30,Rorito,Grande 522,chocolate,,blue,2018-06-01,125.0,greetz pen set : 1 Ball Pen ; 1 Roller Pen ; 1 Roller refill free
31,PARKER,VECTOR STANDARD NEW,dark blue,,blue,2018-05-01,300.0,"Roller Ball Pen , NEW Edition"
32,PARKER,JOTTER STANDARD NEW,silver-black,,blue,2017-02-01,250.0,Ball Pen with Gold Plated Clip
33,PARKER,NEW CLASSIC MATTE BLACK,black,,blue,2017-02-01,375.0,Ball Pen with Gold Plated Clip
34,Rorito,QD gel,black,0.7,blue,2022-05-01,30.0,Gel Pen
35,Flair,Spectrum,black-green,,blue,2020-12-01,80.0,WORLD CLASS PENS: Ball Pen Metal
36,PARKER,VECTOR Special Edition,light blue,,blue,2017-10-01,325.0,FASHION Series: Roller Ball Pen Retro - 06
37,PARKER,Roller Ball Pen Pointer - 02,pattern,,blue,2017-03-01,325.0,VECTOR Special Edition: FASHION Series
38,PARKER,VECTOR STEEL,silver,,blue,2016-05-01,450.0,Ball Pen with Gold Plated Clip
39,PARKER,VECTOR GOLD,gold,,blue,2017-05-01,600.0,Ball Pen with Gold Plated Clip
40,Flair,Carishma,red-black,,blue,2019-08-01,100.0,Ball Pen
